SHAP_rank,Feature,mean_abs_SHAP,TCGA_mean_Normal,TCGA_mean_Tumor,TCGA_deltaBeta,TCGA_wilcox_p,TCGA_FDR,discovery_deltaBeta,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_no_cpgs,discovery_coord,chr,start,end,mean_SHAP,coordinate_key,DMR_id,tested_datasets,validated_datasets_p005,validated_datasets_FDR005,max_deltaBeta,min_p.value,fisher_p.value,meta_FDR,validated_any_p005,validated_at_least2_p005,validated_any_FDR005,n_background_datasets,n_background_pass,min_nCpG_background,max_nCpG_background,max_beta_across_background,mean_beta_across_background,background_pass_all,nCpG_GSE196696,meanBeta_GSE196696,medianBeta_GSE196696,maxSampleBeta_GSE196696,p95Beta_GSE196696,max_group_mean_beta_GSE196696,propSamples_beta_gt_0.20_GSE196696,GSE196696_pass,score_SHAP,score_discovery_delta,priority_score,priority_rank
1,DMR_7,0.00272809676882748,0.125890184249557,0.550056641631187,0.424166457381629,2.76137068646733e-27,1.24155649774465e-25,0.310872401795932,0.308741777554531,0.308741777554531,14,chr6:62995523-62997123,chr6,62995523,62997123,-0.00000252858689290062,chr6:62995523-62997123,chr6:62995523-62997123,5,4,4,0.375585767587401,5.03006733536279e-61,2.69311108015858e-158,2.60558497005342e-156,TRUE,TRUE,TRUE,2,2,13,14,0.140942019771429,0.110927882324509,TRUE,14,0.0941794816220515,0.0919239569822709,0.197961584070423,0.120607636024269,0.0941794816220515,0,TRUE,1,0.728023800324356,0.891209520129742,1
2,DMR_4,0.00235623946107487,0.107855871609922,0.498856294583547,0.391000422973625,7.77517083207492e-26,2.85089597176081e-25,0.351602984885498,0.296280657450557,0.296280657450557,10,chr19:12266489-12267897,chr19,12266489,12267897,-0.0000164937257452033,chr19:12266489-12267897,chr19:12266489-12267897,5,5,5,0.346507118055556,1.26819912050226e-46,1.82468943283349e-122,1.1033668914165e-121,TRUE,TRUE,TRUE,2,2,9,10,0.126023420288889,0.07164452908968,TRUE,10,0.0961328815290118,0.0953568915423801,0.163221439646307,0.119319473162419,0.0961328815290118,0,TRUE,0.817958036377261,1,0.890774821826357,2
6,DMR_41,0.00208788486116139,0.182605517496592,0.512370070947518,0.329764553450926,9.1788357746759e-27,1.24155649774465e-25,0.326940155642584,0.24530080087618,0.24530080087618,30,chr10:7450112-7455714,chr10,7450112,7455714,0.0000272258978604153,chr10:7450112-7455714,chr10:7450112-7455714,5,4,4,0.286934328125,1.777250398072e-51,1.76707595843326e-137,3.41929197956836e-136,TRUE,TRUE,TRUE,2,2,25,30,0.18351085336,0.148940467494963,TRUE,30,0.119670129859456,0.119881142343521,0.159360517847144,0.14067444600319,0.119670129859456,0,TRUE,0.68658560588587,0.835315331578069,0.74607749616275,3
10,DMR_14,0.00199274604094886,0.144876316288765,0.512360307594362,0.367483991305597,1.99600619039872e-26,1.3083066660535e-25,0.313156379543068,0.279911091572014,0.279911091572014,33,chr10:118030848-118034357,chr10,118030848,118034357,0.0000698960645323803,chr10:118030848-118034357,chr10:118030848-118034357,5,4,4,0.332836628663889,1.0985478855059e-49,4.38807773701399e-127,3.77374685383203e-126,TRUE,TRUE,TRUE,2,2,30,33,0.12144419848,0.0757604971613145,TRUE,33,0.0625039349048112,0.0623026569117434,0.0987523805030617,0.075855184467358,0.0625039349048112,0,TRUE,0.640010596366996,0.743274934501438,0.681316331620773,4
17,DMR_149,0.00185644510347732,0.222791382708229,0.567807782796574,0.345016400088344,3.59976137486564e-25,8.99940343716409e-25,0.306807617167045,0.257624143498579,0.257624143498579,6,chr13:25620954-25621735,chr13,25620954,25621735,-0.000014703969056818,chr13:25620954-25621735,chr13:25620954-25621735,4,3,3,0.298692738359202,2.06361592121577e-39,5.24815729412938e-81,6.4477361042161e-81,TRUE,TRUE,TRUE,2,2,6,6,0.117155430818815,0.0816295477404657,TRUE,6,0.106292138233895,0.106338879230376,0.148178665901048,0.132289799611488,0.106292138233895,0,TRUE,0.573284758838352,0.700881427394569,0.624323426260839,5
3,DMR_74,0.00220434303306743,0.23372771390047,0.523847819318809,0.290120105418339,3.05324695151435e-26,1.59931983174561e-25,0.257164538834538,0.229917327210831,0.229917327210831,24,chr20:25061762-25065553,chr20,25061762,25065553,-0.0000423597686368589,chr20:25061762-25065553,chr20:25061762-25065553,5,4,4,0.259615214263008,4.28417706081461e-48,9.66223130108186e-130,1.01061716581586e-128,TRUE,TRUE,TRUE,2,2,20,24,0.1994688080625,0.140242852624585,TRUE,24,0.141722423501727,0.141054042316893,0.175536643050017,0.16170901527621,0.141722423501727,0,TRUE,0.74359745922773,0.369392537206441,0.593915490419214,6
4,DMR_118,0.00217658253249445,0.17277923817574,0.473423321049913,0.300644082874173,8.27246480808394e-27,1.24155649774465e-25,0.257666053426922,0.216263362788925,0.216263362788925,21,chr4:110222806-110224951,chr4,110222806,110224951,0.0000590119650592375,chr4:110222806-110224951,chr4:110222806-110224951,5,4,4,0.262328849558489,2.88398501231373e-47,2.06147995972295e-134,3.32413643505326e-133,TRUE,TRUE,TRUE,2,2,21,21,0.180870691038095,0.136492894023067,TRUE,21,0.12954414875408,0.129560438724673,0.171315062205938,0.144364544617995,0.12954414875408,0,TRUE,0.730007364505648,0.372741372960118,0.587100967887436,7
15,DMR_9,0.00192468150056124,0.167072497703382,0.515687012034868,0.348614514331486,1.23702778618874e-26,1.24155649774465e-25,0.279431956463856,0.28349859276806,0.28349859276806,19,chr8:67872678-67875922,chr8,67872678,67875922,0.0000292990572383909,chr8:67872678-67875922,chr8:67872678-67875922,5,4,4,0.358205729166667,1.00135893077002e-47,9.84136579317115e-127,7.93460117074424e-126,TRUE,TRUE,TRUE,2,2,14,19,0.190975308314286,0.15279509973457,TRUE,19,0.133856811604686,0.131843696016651,0.167101608990135,0.154721970066814,0.133856811604686,0,TRUE,0.606689743644951,0.518081978015447,0.57124663739315,8
5,DMR_10,0.00210444024283181,0.14134927375189,0.515631308964705,0.374282035212814,6.54478896953289e-27,1.24155649774465e-25,0.249260958454015,0.28162433000408,0.28162433000408,12,chr20:41817011-41819775,chr20,41817011,41819775,-0.00000376870616113205,chr20:41817011-41819775,chr20:41817011-41819775,5,4,4,0.336543034347024,3.52197237035924e-50,8.00334560079636e-141,1.82193808676953e-139,TRUE,TRUE,TRUE,2,2,12,12,0.147521948970149,0.0940599409277475,TRUE,12,0.125242304300149,0.123878585846389,0.153741465370043,0.143271538933148,0.125242304300149,0,TRUE,0.69469025819463,0.316616819485957,0.543460882711161,9
14,DMR_29,0.00193753107604973,0.18221634572301,0.508490905515066,0.326274559792056,7.78320599101389e-28,8.56152659011528e-26,0.266965176569635,0.256518535374298,0.256518535374298,19,chr6:390933-394966,chr6,390933,394966,-0.0000539849901937653,chr6:390933-394966,chr6:390933-394966,5,4,4,0.302562387287509,4.90175484093691e-48,6.81514729105954e-138,1.38813789560002e-136,TRUE,TRUE,TRUE,2,2,16,19,0.1797972931375,0.102608652690574,TRUE,19,0.103940865818353,0.102657060357467,0.140132924191723,0.121846950856186,0.103940865818353,0,TRUE,0.612980226324396,0.434835749736148,0.541722435689097,10
